
Time,T_+ve,T_-ve,Flux,Fluxpos,Fluxneg
499.188,0.639,-0.602,2.58883812e-08,3.373672104e-09,-8.413846e+01
500.615,0.753,-0.788,2.051672436e-08,2.724493068e-09,-6.810073e+01
502.297,0.759,-0.930,1.951958448e-08,2.46328236e-09,-6.149128e+01
504.078,0.966,-1.022,1.57449402e-08,2.113630596e-09,-5.282109e+01
505.769,0.715,-0.726,2.23486956e-08,2.874516876e-09,-7.187748e+01
507.171,0.799,-0.686,2.131980444e-08,2.791727532e-09,-7.001976e+01
508.658,0.928,-0.687,1.960575804e-08,2.562575004e-09,-6.438630e+01
510.394,0.794,-0.809,1.975782204e-08,2.581125228e-09,-6.487671e+01
511.962,0.601,-0.774,2.302950672e-08,3.00757446e-09,-7.561492e+01
513.219,0.586,-0.656,2.615039856e-08,3.309685632e-09,-8.320648e+01
514.643,0.768,-0.837,1.988626068e-08,2.568791016e-09,-6.460748e+01
516.222,0.798,-0.812,1.888843572e-08,2.571650532e-09,-6.472153e+01
517.836,0.869,-0.816,1.805093136e-08,2.456950716e-09,-6.185197e+01
519.369,0.553,-0.664,2.542807476e-08,3.386814156e-09,-8.527699e+01
520.732,0.735,-0.810,2.021006988e-08,2.662717464e-09,-6.705993e+01
522.202,0.720,-0.736,2.089744272e-08,2.842026264e-09,-7.160614e+01
523.826,0.843,-0.904,1.832011632e-08,2.3377563e-09,-5.890142e+01
525.452,0.740,-0.783,2.053471068e-08,2.702901564e-09,-6.814161e+01
526.782,0.692,-0.591,2.481526476e-08,3.233410488e-09,-8.148462e+01
528.267,0.590,-0.793,2.360974572e-08,2.996123724e-09,-7.513427e+01
529.484,0.611,-0.627,2.657479968e-08,3.358110096e-09,-8.370267e+01
530.762,0.727,-0.666,2.304301428e-08,3.006656136e-09,-7.487858e+01
532.100,0.752,-0.612,2.35236276e-08,3.060382644e-09,-7.643936e+01
533.768,0.670,-0.915,2.058917652e-08,2.616141132e-09,-6.552223e+01
535.232,0.734,-0.794,2.065251672e-08,2.730967272e-09,-6.853923e+01
536.845,0.897,-0.879,1.76287716e-08,2.3614965e-09,-5.913118e+01
538.345,0.716,-0.603,2.456278704e-08,3.167119296e-09,-7.898627e+01
539.842,0.654,-0.782,2.217951648e-08,2.929641264e-09,-7.283525e+01
541.397,0.734,-0.901,1.931223096e-08,2.581268976e-09,-6.409529e+01
542.813,0.650,-0.682,2.34930366e-08,3.164678352e-09,-7.880714e+01
544.361,0.816,-0.897,1.874339676e-08,2.441154672e-09,-6.091225e+01
